지하철역,반경 내 주요공원 수
가산디지털단지,0
개봉,2
광운대,1
구로,2
구일,1
금천구청,1
남영,1
노량진,3
녹천,3
대방,4
도봉,1
도봉산,1
독산,0
동대문,4
동묘앞,4
방학,1
서울,2
석계,0
시청,6
신길,5
신도림,1
신설동,2
신이문,1
영등포,2
오류동,3
온수,2
외대앞,1
용산,0
월계,0
제기동,2
종각,4
종로3가,5
종로5가,4
창동,3
청량리,2
회기,1
강남,0
강변,0
건대입구,1
교대,0
구로디지털단지,1
구의,1
까치산,2
낙성대,2
당산,1
대림,1
도림천,1
동대문역사문화공원,1
뚝섬,2
문래,2
방배,0
봉천,1
사당,1
삼성,2
상왕십리,2
서울대입구,1
서초,0
선릉,1
성수,2
신답,2
신당,3
신대방,1
신림,2
신정네거리,1
신촌,1
아현,3
양천구청,1
역삼,1
영등포구청,1
왕십리,2
용답,1
용두,2
을지로3가,2
을지로4가,2
을지로입구,5
이대,0
잠실,1
잠실나루,0
잠실새내,2
종합운동장,1
충정로,3
한양대,2
합정,3
홍대입구,2
가락시장,1
경복궁,6
경찰병원,3
고속터미널,0
구파발,3
금호,3
남부터미널,0
녹번,0
대청,1
대치,0
도곡,1
독립문,4
동대입구,2
매봉,1
무악재,3
불광,2
수서,1
신사,0
안국,4
압구정,1
약수,2
양재,2
연신내,3
오금,2
옥수,2
일원,2
잠원,0
충무로,3
학여울,0
홍제,3
길음,1
남태령,0
노원,1
당고개,0
동작,1
명동,3
미아,2
미아사거리,1
삼각지,0
상계,0
성신여대입구,2
수유,1
숙대입구,3
신용산,0
쌍문,5
이촌,1
총신대입구,1
한성대입구,4
혜화,4
회현,3
강동,1
개롱,3
개화산,3
거여,1
고덕,4
공덕,1
광나루,1
광화문,5
군자,1
굽은다리,5
길동,3
김포공항,0
답십리,3
둔촌동,1
마곡,0
마장,2
마천,2
마포,1
명일,2
목동,1
발산,1
방이,2
방화,3
상일동,2
서대문,7
송정,0
신금호,3
신정,1
아차산,2
애오개,3
양평,0
여의나루,2
여의도,5
영등포시장,2
오목교,1
올림픽공원,2
우장산,1
장한평,0
천호,1
청구,3
행당,2
화곡,2
고려대,1
광흥창,1
구산,2
녹사평,1
대흥,1
독바위,3
돌곶이,1
디지털미디어시티,2
마포구청,1
망원,1
버티고개,3
보문,4
봉화산,1
상수,2
상월곡,1
새절,2
신내,3
안암,2
역촌,1
월곡,1
월드컵경기장,2
응암,2
이태원,0
증산,1
창신,3
태릉입구,1
한강진,0
화랑대,2
효창공원앞,1
강남구청,3
공릉,1
남구로,1
남성,2
내방,0
논현,0
뚝섬유원지,0
마들,0
먹골,1
면목,2
반포,0
보라매,2
사가정,3
상도,2
상봉,0
수락산,1
숭실대입구,1
신대방삼거리,3
신풍,1
어린이대공원,1
용마산,2
이수,1
장승배기,3
중계,1
중곡,1
중화,1
천왕,2
청담,2
하계,1
학동,1
강동구청,1
몽촌토성,1
문정,1
복정,1
석촌,1
송파,1
암사,1
장지,2
가양,4
개화,2
공항시장,0
구반포,1
국회의사당,2
노들,1
둔촌오륜,1
등촌,3
마곡나루,1
봉은사,3
사평,0
삼성중앙,2
삼전,2
샛강,3
석촌고분,1
선유도,2
선정릉,2
송파나루,1
신논현,0
신목동,2
신반포,0
신방화,1
양천향교,2
언주,0
염창,3
중앙보훈병원,2
증미,3
한성백제,1
흑석,2
