호선명,지하철역,반경 내 주요공원 수
1호선,가산디지털단지,0
1호선,개봉,2
1호선,광운대,1
1호선,구로,2
1호선,구일,1
1호선,금천구청,1
1호선,남영,1
1호선,노량진,3
1호선,녹천,3
1호선,대방,4
1호선,도봉,1
1호선,도봉산,1
1호선,독산,0
1호선,동대문,4
1호선,동묘앞,4
1호선,방학,1
1호선,서울,2
1호선,석계,0
1호선,시청,6
1호선,신길,5
1호선,신도림,1
1호선,신설동,2
1호선,신이문,1
1호선,영등포,2
1호선,오류동,3
1호선,온수,2
1호선,외대앞,1
1호선,용산,0
1호선,월계,0
1호선,제기동,2
1호선,종각,4
1호선,종로3가,5
1호선,종로5가,4
1호선,창동,3
1호선,청량리,2
1호선,회기,1
2호선,강남,0
2호선,강변,0
2호선,건대입구,1
2호선,교대,0
2호선,구로디지털단지,1
2호선,구의,1
2호선,까치산,2
2호선,낙성대,2
2호선,당산,1
2호선,대림,1
2호선,도림천,1
2호선,동대문역사문화공원,1
2호선,뚝섬,2
2호선,문래,2
2호선,방배,0
2호선,봉천,1
2호선,사당,1
2호선,삼성,2
2호선,상왕십리,2
2호선,서울대입구,1
2호선,서초,0
2호선,선릉,1
2호선,성수,2
2호선,시청,6
2호선,신답,2
2호선,신당,3
2호선,신대방,1
2호선,신도림,1
2호선,신림,2
2호선,신설동,2
2호선,신정네거리,1
2호선,신촌,1
2호선,아현,3
2호선,양천구청,1
2호선,역삼,1
2호선,영등포구청,1
2호선,왕십리,2
2호선,용답,1
2호선,용두,2
2호선,을지로3가,2
2호선,을지로4가,2
2호선,을지로입구,5
2호선,이대,0
2호선,잠실,1
2호선,잠실나루,0
2호선,잠실새내,2
2호선,종합운동장,1
2호선,충정로,3
2호선,한양대,2
2호선,합정,3
2호선,홍대입구,2
3호선,가락시장,1
3호선,경복궁,6
3호선,경찰병원,3
3호선,고속터미널,0
3호선,교대,0
3호선,구파발,3
3호선,금호,3
3호선,남부터미널,0
3호선,녹번,0
3호선,대청,1
3호선,대치,0
3호선,도곡,1
3호선,독립문,4
3호선,동대입구,2
3호선,매봉,1
3호선,무악재,3
3호선,불광,2
3호선,수서,1
3호선,신사,0
3호선,안국,4
3호선,압구정,1
3호선,약수,2
3호선,양재,2
3호선,연신내,3
3호선,오금,2
3호선,옥수,2
3호선,을지로3가,2
3호선,일원,2
3호선,잠원,0
3호선,종로3가,5
3호선,충무로,3
3호선,학여울,0
3호선,홍제,3
4호선,길음,1
4호선,남태령,0
4호선,노원,1
4호선,당고개,0
4호선,동대문,4
4호선,동대문역사문화공원,1
4호선,동작,1
4호선,명동,3
4호선,미아,2
4호선,미아사거리,1
4호선,사당,1
4호선,삼각지,0
4호선,상계,0
4호선,서울,2
4호선,성신여대입구,2
4호선,수유,1
4호선,숙대입구,3
4호선,신용산,0
4호선,쌍문,5
4호선,이촌,1
4호선,창동,3
4호선,총신대입구,1
4호선,충무로,3
4호선,한성대입구,4
4호선,혜화,4
4호선,회현,3
5호선,강동,1
5호선,개롱,3
5호선,개화산,3
5호선,거여,1
5호선,고덕,4
5호선,공덕,1
5호선,광나루,1
5호선,광화문,5
5호선,군자,1
5호선,굽은다리,5
5호선,길동,3
5호선,김포공항,0
5호선,까치산,2
5호선,답십리,3
5호선,동대문역사문화공원,1
5호선,둔촌동,1
5호선,마곡,0
5호선,마장,2
5호선,마천,2
5호선,마포,1
5호선,명일,2
5호선,목동,1
5호선,발산,1
5호선,방이,2
5호선,방화,3
5호선,상일동,2
5호선,서대문,7
5호선,송정,0
5호선,신금호,3
5호선,신길,5
5호선,신정,1
5호선,아차산,2
5호선,애오개,3
5호선,양평,0
5호선,여의나루,2
5호선,여의도,5
5호선,영등포구청,1
5호선,영등포시장,2
5호선,오금,2
5호선,오목교,1
5호선,올림픽공원,2
5호선,왕십리,2
5호선,우장산,1
5호선,을지로4가,2
5호선,장한평,0
5호선,종로3가,5
5호선,천호,1
5호선,청구,3
5호선,충정로,3
5호선,행당,2
5호선,화곡,2
6호선,고려대,1
6호선,공덕,1
6호선,광흥창,1
6호선,구산,2
6호선,녹사평,1
6호선,대흥,1
6호선,독바위,3
6호선,돌곶이,1
6호선,동묘앞,4
6호선,디지털미디어시티,2
6호선,마포구청,1
6호선,망원,1
6호선,버티고개,3
6호선,보문,4
6호선,봉화산,1
6호선,불광,2
6호선,삼각지,0
6호선,상수,2
6호선,상월곡,1
6호선,새절,2
6호선,석계,0
6호선,신내,3
6호선,신당,3
6호선,안암,2
6호선,약수,2
6호선,역촌,1
6호선,연신내,3
6호선,월곡,1
6호선,월드컵경기장,2
6호선,응암,2
6호선,이태원,0
6호선,증산,1
6호선,창신,3
6호선,청구,3
6호선,태릉입구,1
6호선,한강진,0
6호선,합정,3
6호선,화랑대,2
6호선,효창공원앞,1
7호선,가산디지털단지,0
7호선,강남구청,3
7호선,건대입구,1
7호선,고속터미널,0
7호선,공릉,1
7호선,군자,1
7호선,남구로,1
7호선,남성,2
7호선,내방,0
7호선,노원,1
7호선,논현,0
7호선,대림,1
7호선,도봉산,1
7호선,뚝섬유원지,0
7호선,마들,0
7호선,먹골,1
7호선,면목,2
7호선,반포,0
7호선,보라매,2
7호선,사가정,3
7호선,상도,2
7호선,상봉,0
7호선,수락산,1
7호선,숭실대입구,1
7호선,신대방삼거리,3
7호선,신풍,1
7호선,어린이대공원,1
7호선,온수,2
7호선,용마산,2
7호선,이수,1
7호선,장승배기,3
7호선,중계,1
7호선,중곡,1
7호선,중화,1
7호선,천왕,2
7호선,청담,2
7호선,태릉입구,1
7호선,하계,1
7호선,학동,1
8호선,가락시장,1
8호선,강동구청,1
8호선,몽촌토성,1
8호선,문정,1
8호선,복정,1
8호선,석촌,1
8호선,송파,1
8호선,암사,1
8호선,잠실,1
8호선,장지,2
8호선,천호,1
9호선,가양,4
9호선,개화,2
9호선,고속터미널,0
9호선,공항시장,0
9호선,구반포,1
9호선,국회의사당,2
9호선,김포공항,0
9호선,노들,1
9호선,노량진,3
9호선,당산,1
9호선,동작,1
9호선,둔촌오륜,1
9호선,등촌,3
9호선,마곡나루,1
9호선,봉은사,3
9호선,사평,0
9호선,삼성중앙,2
9호선,삼전,2
9호선,샛강,3
9호선,석촌,1
9호선,석촌고분,1
9호선,선유도,2
9호선,선정릉,2
9호선,송파나루,1
9호선,신논현,0
9호선,신목동,2
9호선,신반포,0
9호선,신방화,1
9호선,양천향교,2
9호선,언주,0
9호선,여의도,5
9호선,염창,3
9호선,올림픽공원,2
9호선,종합운동장,1
9호선,중앙보훈병원,2
9호선,증미,3
9호선,한성백제,1
9호선,흑석,2
